00   0 34475762 33555896 35395628 12.7 12.4 13.1 13466544 12979586 13953502 18.9 18.2 19.6  8922935  8511476  9334394 17.5 16.7 18.3  38885  38507  39263 4038584 3752962 4324206 20.8 19.4 22.3 United States                                 US
01  93     4811     3790     5833 16.0 12.6 19.3     1504     1144     1864 21.1 16.1 26.1     1127      827     1427 21.5 15.8 27.3  28627  25491  31746                                        Marion County                                 AL
01  95    12686    10120    15253 15.6 12.5 18.8     4447     3432     5463 23.4 18.0 28.7     2923     2166     3680 21.0 15.6 26.5  31153  28211  34080                                        Marshall County                               AL
01  97    75752    60464    91041 19.0 15.1 22.8    29576    22884    36268 27.3 21.1 33.5    18861    14050    23672 24.2 18.0 30.4  31430  28626  34218                                        Mobile County                                 AL
01  99     4926     3889     5963 20.5 16.2 24.8     1946     1496     2395 28.2 21.6 34.7     1409     1043     1775 27.4 20.3 34.5  28942  25853  32015                                        Monroe County                                 AL
01 101    35840    28548    43133 17.0 13.5 20.4    14688    11393    17983 26.5 20.6 32.4     9172     6844    11500 23.1 17.3 29.0  36008  33078  38921                                        Montgomery County                             AL
01 103    12362     9833    14890 11.3  9.0 13.6     4677     3605     5750 17.2 13.3 21.2     2889     2144     3634 14.7 10.9 18.5  38381  35492  41255                                        Morgan County                                 AL
01 105     4087     3189     4986 33.3 26.0 40.6     1516     1140     1891 40.0 30.1 49.9     1208      878     1538 42.4 30.8 54.0  18880  15729  22014                                        Perry County                                  AL
01 107     4680     3715     5645 22.1 17.6 26.7     1812     1396     2227 31.5 24.3 38.7     1284      953     1615 30.0 22.3 37.7  25573  22613  28516                                        Pickens County                                AL
01 109     6348     4999     7697 23.1 18.2 28.0     2121     1618     2623 30.4 23.2 37.6     1585     1166     2004 31.4 23.1 39.8  25178  22121  28219                                        Pike County                                   AL
01 111     3555     2830     4280 17.5 14.0 21.1     1297     1001     1592 25.7 19.8 31.5      899      668     1130 23.7 17.6 29.7  27649  24696  30587                                        Randolph County                               AL
01 113     9085     7219    10952 18.0 14.3 21.7     3465     2688     4242 27.5 21.3 33.6     2337     1743     2931 26.1 19.5 32.7  29430  26351  32492                                        Russell County                                AL
01 115     8328     6598    10057 13.2 10.5 15.9     2985     2275     3694 18.2 13.8 22.5     2153     1590     2716 18.2 13.4 23.0  35828  32833  38806                                        St. Clair County                              AL
01 117     9559     7521    11596  6.5  5.1  7.9     3602     2686     4519  9.3  6.9 11.6     2386     1719     3053  8.8  6.3 11.3  55470  52460  58464                                        Shelby County                                 AL
01 119     4499     3532     5467 29.6 23.2 36.0     1681     1279     2083 36.3 27.6 45.0     1282      940     1624 37.1 27.2 47.0  20605  17511  23683                                        Sumter County                                 AL
01 121    14258    11325    17191 18.6 14.8 22.5     5256     4070     6441 26.2 20.3 32.1     3649     2718     4580 24.5 18.3 30.8  27765  24712  30801                                        Talladega County                              AL
